"Options","Name","min","max","Value"
"","Command: reset (reset)","","",""
"","Command: chimney sweeper (chimneysweeper)","","",""
"","force heating off (heatingoff)","","","off"
"","heating active (heatingactive)","","","off"
"","tapwater active (tapwateractive)","","","off"
"","selected flow temperature (selflowtemp)","0","90","29"
"","heating pump modulation (heatingpumpmod)","","","0"
"","outside temperature (outdoortemp)","","","4"
"","current flow temperature (curflowtemp)","","","28"
"","return temperature (rettemp)","","","28"
"","mixing switch temperature (switchtemp)","","",""
"","system pressure (syspress)","","",""
"","actual boiler temperature (boiltemp)","","",""
"","low loss header (headertemp)","","","28"
"","heating activated (heatingactivated)","","","on"
"","heating temperature (heatingtemp)","0","90","85"
"","heating pump (heatingpump)","","","on"
"","boiler pump max power (pumpmodmax)","0","100","0"
"","boiler pump min power (pumpmodmin)","0","100","0"
"","boiler pump mode (pumpmode)","","",""
"","boiler pump characteristic (pumpcharacter)","","","proportional"
"","pump delay (pumpdelay)","","",""
"","pump logic temperature (pumpontemp)","","",""
"","burner selected max power (selburnpow)","0","254","6"
"","burner current power (curburnpow)","","","0"
"","burner starts (burnstarts)","","","0"
"","total burner operating time (burnworkmin)","","","0"
"","burner stage 2 operating time (burn2workmin)","","","0"
"","total heat operating time (heatworkmin)","","","0"
"","burner starts heating (heatstarts)","","","0"
"","total UBA operating time (ubauptime)","","","992,79"
"","last error code (lastcode)","","","A01(5284) 01.03.2026 03:12 - 01.03.2026 12:17"
"","service code (servicecode)","","","0H"
"","service code number (servicecodenumber)","","","203"
"","maintenance message (maintenancemessage)","","",""
"","maintenance scheduled (maintenance)","","",""
"","time to next maintenance (maintenancetime)","","",""
"","next maintenance date (maintenancedate)","","",""
"","emergency operation (emergencyops)","","","off"
"","emergency temperature (emergencytemp)","0","70","0"
"","Flow PC0 (pc0flow)","","",""
"","Flow PC1 (pc1flow)","","",""
"","PC1 (pc1on)","","","on"
"","PC1 rate (pc1rate)","","",""
"","Command: manual defrost (mandefrost)","","",""
"","total energy (nrgtotal)","","",""
"","dhw energy (dhw/nrg)","","",""
"","energy heating (nrgheat)","","",""
"","energy cooling (nrgcool)","","",""
"","meter total (metertotal)","","",""
"","meter compressor (metercomp)","","",""
"","meter e-heater (metereheat)","","",""
"","meter heating (meterheat)","","",""
"","meter cooling (metercool)","","",""
"","dhw meter (dhw/meter)","","",""
"","heatpump total uptime (uptimetotal)","","","992,232"
"","total operating time heat (uptimecontrol)","","","380,153"
"","operating time compressor heating (uptimecompheating)","","","269,72"
"","operating time compressor cooling (uptimecompcooling)","","","0"
"","dhw operating time compressor (dhw/uptimecomp)","","","110,433"
"","operating time compressor pool (uptimecomppool)","","","0"
"","total compressor control starts (totalcompstarts)","","","2,815"
"","heating control starts (heatingstarts)","","","1,295"
"","cooling control starts (coolingstarts)","","","0"
"","dhw starts hp (dhw/startshp)","","","1,52"
"","pool control starts (poolstarts)","","","0"
"","total energy consumption (nrgconstotal)","","","11,92"
"","total energy consumption compressor (nrgconscomptotal)","","","11,342"
"","energy consumption compressor heating (nrgconscompheating)","","","7,643"
"","dhw energy consumption compressor (dhw/nrgconscomp)","","","3,69"
"","energy consumption compressor cooling (nrgconscompcooling)","","","0"
"","energy consumption compressor pool (nrgconscomppool)","","","0"
"","total aux elec. heater energy consumption (auxelecheatnrgconstotal)","","","578"
"","aux elec. heater energy consumption heating (auxelecheatnrgconsheating)","","","481"
"","dhw aux elec. heater energy consumption (dhw/auxelecheatnrgcons)","","","95"
"","aux elec. heater energy consumption pool (auxelecheatnrgconspool)","","","0"
"","total energy supplied (nrgsupptotal)","","","36,411"
"","total energy supplied heating (nrgsuppheating)","","","26,751"
"","dhw total energy warm supplied (dhw/nrgsupp)","","","9,653"
"","total energy supplied cooling (nrgsuppcooling)","","","0"
"","total energy supplied pool (nrgsupppool)","","","0"
"","compressor power output (hppower)","","","65.5"
"","compressor max power (hpmaxpower)","0","100","100"
"","pv compressor max power (pvmaxcomp)","0","25","0"
"","power reduction (powerreduction)","","",""
"","set differential pressure (hpsetdiffpress)","","",""
"","hp compressor (hpcompon)","","","off"
"","compressor activity (hpactivity)","","","off"
"","brine pump speed (hpbrinepumpspd)","","","0"
"","switch valve (hpswitchvalve)","","","off"
"","compressor speed (hpcompspd)","","","0"
"","compressor target speed (hptargetspd)","","","6"
"","circulation pump speed (hpcircspd)","","","10"
"","receiver valve VR0 (recvalve)","","","0"
"","expansion valve VR1 (expvalve)","","","0"
"","brine in/evaporator (hpbrinein)","","","0"
"","brine out/condenser (hpbrineout)","","","0"
"","heat carrier return (TC0) (hptc0)","","","28"
"","heat carrier forward (TC1) (hptc1)","","","28"
"","condenser temperature (TC3) (hptc3)","","","28"
"","compressor temperature (TR1) (hptr1)","","","51.6"
"","refrigerant temperature liquid side (condenser output) (TR3) (hptr3)","","","23.apr"
"","evaporator inlet temperature (TR4) (hptr4)","","","05.juuli"
"","compressor inlet temperature (TR5) (hptr5)","","","24.veebr"
"","compressor outlet temperature (TR6) (hptr6)","","","40.4"
"","refrigerant temperature gas side (condenser input) (TR7) (hptr7)","","",""
"","air inlet temperature (TL2) (hptl2)","","","03.juuni"
"","low pressure side temperature (PL1) (hppl1)","","","03.aug"
"","high pressure side temperature (PH1) (hpph1)","","","03.juuni"
"","drain pan temp (TA4) (hpta4)","","","05.veebr"
"","reservoir temp (TW1) (hptw1)","","","51.2"
"","pool set temperature (poolsettemp)","0","127","28"
"","input 1 state (hpin1)","","","off"
"","input 1 options (hpin1opt)","","","0"
"","input 2 state (hpin2)","","","off"
"","input 2 options (hpin2opt)","","","0"
"","input 3 state (hpin3)","","","off"
"","input 3 options (hpin3opt)","","","0"
"","input 4 state (hpin4)","","","off"
"","input 4 options (hpin4opt)","","","0"
"","heat limit compressor (maxheatcomp)","","","9 kW"
"","heat limit heating (maxheatheat)","","","9 kW"
"","dhw heat limit (dhw/maxheat)","","","9 kW"
"","aux heater source (auxheatersource)","","","electric heater"
"","cooling only with PV (pvcooling)","","","off"
"","aux heater only (auxheateronly)","","","off"
"","disable aux heater (auxheateroff)","","","off"
"","aux heater status (auxheaterstatus)","","","off"
"","aux heater level (auxheaterlevel)","","","0"
"","aux heater on delay (auxheaterdelay)","10","1","450"
"","aux heater max limit (auxmaxlimit)","0","10","0"
"","aux heater limit start (auxlimitstart)","0","10","0.1"
"","aux heater mode (auxheatrmode)","","","eco"
"","on/off hyst heat (hphystheat)","0","1,5","0"
"","on/off hyst cool (hphystcool)","0","1,5","0"
"","on/off hyst pool (hphystpool)","50","1,5","1,125"
"","silent mode (silentmode)","","","off"
"","silent mode from (silentfrom)","0","3,81","1,32"
"","silent mode to (silentto)","0","3,81","360"
"","min outside temp for silent mode (mintempsilent)","-126","126","-10"
"","outside temp parallel mode (tempparmode)","-126","126","10"
"","aux heater mixing valve (auxheatmix)","","","0"
"","temp diff TC3/TC0 heat (tempdiffheat)","2","10","7"
"","temp diff TC3/TC0 cool (tempdiffcool)","2","10","3"
"","valve/pump cooling (vpcooling)","","","off"
"","heating cable (heatcable)","","","off"
"","VC0 valve (vc0valve)","","","off"
"","primary heatpump (primepump)","","","off"
"","primary heatpump modulation (primepumpmod)","0","100","0"
"","3-way valve (hp3way)","","","off"
"","el. heater step 1 (elheatstep1)","","","off"
"","el. heater step 2 (elheatstep2)","","","off"
"","el. heater step 3 (elheatstep3)","","","off"
"","condensate reservoir heating (EA0) (hpea0)","","","off"
"","primary heatpump mode (hppumpmode)","","","auto"
"","fan (fan)","","",""
"","fan speed (fanspd)","","","0"
"","Command: shutdown (shutdown)","","",""
"","compressor current power (hpcurrpower)","","","26"
"","power limit (hppowerlimit)","","",""
"","dhw alternating operation (dhw/alternatingop)","","","on"
"","dhw prioritise heating during dhw (dhw/altopprioheat)","20","120","35"
"","dhw prioritise dhw during heating (dhw/altopprio)","30","120","45"
"","dhw comfort switch off (dhw/comfoff)","15","65","63"
"","dhw eco switch off (dhw/ecooff)","15","65","60"
"","dhw eco+ switch off (dhw/ecoplusoff)","48","63","55"
"","dhw comfort diff (dhw/comfdiff)","","",""
"","dhw eco diff (dhw/ecodiff)","","",""
"","dhw eco+ diff (dhw/ecoplusdiff)","","",""
"","dhw comfort stop temp (dhw/comfstop)","","",""
"","dhw eco stop temp (dhw/ecostop)","","",""
"","dhw eco+ stop temp (dhw/ecoplusstop)","","",""
"","dhw circulation pump available during dhw (dhw/hpcircpump)","","","on"
"","dhw turn on/off (dhw/tapactivated)","","",""
"","dhw set temperature (dhw/settemp)","","","60"
"","dhw selected temperature (dhw/seltemp)","0","254","48"
"","dhw selected lower temperature (dhw/seltemplow)","0","254","42"
"","dhw selected eco+ temperature (dhw/tempecoplus)","0","254","35"
"","dhw selected temperature for off (dhw/seltempoff)","","",""
"","dhw single charge temperature (dhw/seltempsingle)","0","254","65"
"","dhw solar boiler temperature (dhw/solartemp)","","",""
"","dhw type (dhw/type)","","",""
"","dhw comfort (dhw/comfort)","","",""
"","dhw comfort mode (dhw/comfort1)","","","high comfort"
"","dhw flow temperature offset (dhw/flowtempoffset)","0","100","25"
"","dhw charge optimization (dhw/chargeoptimization)","","","off"
"","dhw max power (dhw/maxpower)","","",""
"","dhw maximum temperature (dhw/maxtemp)","0","80","56"
"","dhw circulation pump available (dhw/circpump)","","","on"
"","dhw charging type (dhw/chargetype)","","",""
"","dhw hysteresis on temperature (dhw/hyston)","-126","126","-2"
"","dhw hysteresis off temperature (dhw/hystoff)","-126","126","0"
"","dhw disinfection temperature (dhw/disinfectiontemp)","60","80","65"
"","dhw circulation pump mode (dhw/circmode)","","","4x3min"
"","dhw circulation active (dhw/circ)","","","off"
"","dhw current intern temperature (dhw/curtemp)","","","65.5"
"","dhw current extern temperature (dhw/curtemp2)","","","51.1"
"","dhw current tap water flow (dhw/curflow)","","","0"
"","dhw storage intern temperature (dhw/storagetemp1)","","",""
"","dhw storage extern temperature (dhw/storagetemp2)","","",""
"","dhw activated (dhw/activated)","","","on"
"","dhw one time charging (dhw/onetime)","","","off"
"","dhw disinfecting (dhw/disinfecting)","","","off"
"","dhw charging (dhw/charging)","","","off"
"","dhw recharging (dhw/recharging)","","","off"
"","dhw temperature ok (dhw/tempok)","","","off"
"","dhw active (dhw/active)","","",""
"","dhw 3-way valve active (dhw/3wayvalve)","","","off"
"","dhw charge pump (dhw/chargepump)","","",""
"","dhw mixer temperature (dhw/mixertemp)","","",""
"","dhw cylinder middle temperature (TS3) (dhw/cylmiddletemp)","","",""
"","dhw dhw priority (dhw/dhwprio)","","","off"
"","dhw starts (dhw/starts)","","","0"
"","dhw active time (dhw/workm)","","","0"
